Module	SGI 5.8.0	Built	Build Notes
HTML::Parser	3.26	Y	
HTML::TableExtract	1.07	Y	
HTML::Tagset	3.03	Y	
HTML::Template	2.5	Y	
HTML::Tree	3.12	Y	
Inline	0.43	Y	
IO::String	1.01	Y	
IO::Stringy	2.108	Y	
IPC::Locker	1.300	Y	
IPC::Shareable	0.60	Y	
IPC::ShareLite	0.08	Y	
libwww-perl	5.65	Y	
libxml-perl	0.07	Y	
Lingua::EN::AddressParse	1.11	Y	
Lingua::EN::Gender	0.02	Y	
Lingua::EN::MatchNames	1.1	Y	
Lingua::EN::NameCase	1.12	Y	
Lingua::EN::NameParse	1.18	Y	
Lingua::EN::NickName	1.12	Y	
Lingua::EN::Numbers	0.01	Y	
Lingua::EN::Numbers::Ordinate	0.01	Y	
Lingua::EN::Sentence	0.23	Y	
Lingua::EN::Squeeze	1998.1204	Y	
Lingua::EN::Syllable	0.251	Y	
Locale::Codes	2.06	Y	
Locale::SubCountry 	1.11	Y	
Log::Agent	0.301	Y	Some tests fail
Mail::Bulkmail	2.05	Y	
Mail::Sendmail	0.78	Y	
MailTools	1.47	Y	
Math::Roman	1.05	Y	
Math-BigInt	1.60	Y	
MD5	1.7	Y	
MIME::Base64	2.12	Y	
MIME::Lite	2.117	Y	
MIME::Types 	1.001	Y	
MIME-tools	5.411a	Y	
Net::Daemon	0.36	Y	
Net::SMS	2.41	Y	
Net::SMS::Genie 	0.012	Y	
Net::SMS::Web	0.009	Y	
Number::Format	1.44	Y	
Number::Latin	1.01	Y	
Number::Spell	0.04	Y	
OLE::Storage	0.386	Y	
OLE::Storage_Lite	0.10	Y	
Parse::RecDescent	1.80	Y	
Parse::RecDescent::Consumer	1.03	Y	
Parse::Yapp	1.05	Y	
PDF 	111	Y	
PDF::Create	0.01	Y	
PDF::Labels	1.8	Y	
PlRPC	0.2016	Y	
PPM	2.1.6	Y	
Proc::ProcessTable	0.35	Y	
Proc-Background	1.07	Y	
Quantum::Superpositions	1.05	Y	
Rcs	1.04	Y	
RTF::Document	0.64	Y	
RTF::Generator	1.00	Y	
RTF::Parser	1.07	Y	
Schedule::Cron	0.05	Y	
SOAP::Lite	0.55	Y	
Sort::Fields	0.90	Y	
Spreadsheet::ParseExcel	0.2407	Y	
Spreadsheet::WriteExcel	0.37	Y	
