Module	Win32 5.8.0	Built	Build Notes
libxml-perl	0.07	Y	
Lingua::EN::AddressParse	1.11	Y	
Lingua::EN::Gender	0.02	Y	
Lingua::EN::MatchNames	1.1	Y	
Lingua::EN::NameCase	1.12	Y	
Lingua::EN::NameParse	1.18	Y	
Lingua::EN::NickName	1.12	Y	
Lingua::EN::Numbers	0.01	Y	
Lingua::EN::Numbers::Ordinate	0.01	Y	
Lingua::EN::Sentence	0.23	Y	
Lingua::EN::Squeeze	1998.1204	Y	
Lingua::EN::Syllable	0.251	Y	
Locale::Codes	2.06	Y	
Locale::SubCountry 	1.11	Y	
Log::Agent	0.301	Y	some tests fail
Mail::Bulkmail	2.05	Y	
Mail::Sendmail	0.78	Y	
MailTools	1.47	Y	
Math::Roman	1.05	Y	
Math-BigInt	1.60	Y	
MD5	1.7	Y	
MIME::Base64	2.12	Y	
MIME::Lite	2.117	Y	
MIME::Types 	1.001	Y	
MIME-tools	5.411	Y	
MLDBM	2.01	Y	
Net::Daemon	0.36	Y	
Net::SMS	2.41	Y	
Net::SMS::Genie 	0.012	Y	
Net::SMS::Web	0.009	Y	
Number::Format	1.44	Y	some tests fail
Number::Latin	1.01	Y	
Number::Spell	0.04	Y	
OLE::Storage	0.386	Y	
OLE::Storage_Lite	0.10	Y	
Parse::RecDescent	1.80	Y	
Parse::RecDescent::Consumer	1.03	Y	
Parse::Yapp	1.05	Y	
PDF 	111	Y	
PDF::Create	0.01	Y	
PDF::Labels	1.8	Y	
PlRPC	0.2016	Y	
PPM	2.1.6	Y	
Proc-Background	1.07	Y	
Quantum::Superpositions	1.05	Y	
Rcs	1.04	Y	
RTF::Document	0.64	Y	
RTF::Generator	1.00	Y	
RTF::Parser	1.07	Y	
SOAP::Lite	0.55	Y	
Sort::Fields	0.90	Y	
Spreadsheet::ParseExcel	0.2407	Y	
Spreadsheet::WriteExcel	0.37	Y	
SQL::Statement	1.004	Y	
Storable	2.04	Y	
String::Approx	3.18	Y	
Template-Toolkit	2.08	Y	
TermReadKey	2.21	Y	
Test	1.20	Y	
Test-Harness	2.26	Y	
Test-Inline	0.15	Y	
Test-Simple	0.46	Y	
Text::Autoformat	1.04	Y	
Text::CSV_XS	0.23	Y	
Text::Metaphone	1.96	Y	
Text::Reform	1.06	Y	
Text::Template	1.43	Y	
Tie::Cache	0.17	Y	
Tie::IxHash	1.21	Y	
Tie::TwoLevelHash	1.2	Y	
Time-modules	101.062101	Y	40% tests fail
Tk	800.024	Y	
Tk::Clock	0.06	Y	
Tk::ColourChooser	1.50	Y	
Tk::Date	0.40	Y	
Tk::FileDialog	1.3	Y	
Tk::FontDialog	0.06	Y	
Tk::HistEntry	0.40	Y	
Tk::HTML	3.002	Y	
Tk::MesgBox	1.12	Y	
Tk::MListBox	1.11	Y	
Tk::Month	1.2	Y	
Tk::Multi	1.003	Y	
Tk::ObjEditor	1.001	Y	
Tk::ObjScanner	1.022	Y	
Tk::PathEntry	2.17	Y	
Tk::Pod	0.11	Y	Built without required Text::English
Tk::SlideShow	0.07	Y	
Tk::TableMatrix	0.9	Y	
Tk::Text::SuperText	0.9.4	Y	
Tk::TextANSIColor	0.14	Y	
Tk::TreeGraph	1.024	Y	
Tk::WaitBox	1.3	Y	
Tk::XMLViewer	0.14	Y	
Tk-Contrib	0.07	Y	
Tk-DKW	0.03	Y	
Tk-GBARR	2.05	Y	
Tree::DAG_Node	1.04	Y	
Unicode::Map	0.112	Y	
Unicode::Map8	0.11	Y	
Unicode::String	2.06	Y	
URI	1.2	Y	
VCS::Rcs::Parser	0.06	Y	
WDDX	1.01	Y	
WeakRef	0.01	Y	
Win32::ChangeNotify	1.02	Y	
Win32::Clipboard	0.51	Y	
Win32::Console	0.031	Y	
Win32::EventLog	0.07	Y	
Win32::File	0.05	Y	
Win32::FileSecurity	1.04	Y	
Win32::Internet	0.081	Y	
Win32::IPC	1.02	Y	
Win32::Mutex	1.02	Y	
Win32::NetAdmin	0.07	Y	
